"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.3 for 2021-2022 @t1",
"e"," ","","163","1659454088566","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","163","1659454088619","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","w","","163","1659454088620","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","w",,"164","1659454088632","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","164","1659454088637","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"165","1659454088757","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","165","1659454088762","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","165","1659454088886","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","N","","165","1659454088887","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","N",,"166","1659454088889","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","166","1659454088897","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","166","1659454088942","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","O","","166","1659454088943","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","O",,"167","1659454088945","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","167","1659454088952","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","167","1659454089270","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","d","","167","1659454089271","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","d",,"168","1659454089273","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","168","1659454089280","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","168","1659454089417","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","e","","168","1659454089418","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","e",,"169","1659454089419","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","169","1659454089424","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454089961","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","e ","168","1659454089962","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","168","1659454089970","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454090083","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","d ","167","1659454090084","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","167","1659454090100","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454090227","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","O ","166","1659454090228","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","166","1659454090234","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","166","1659454090413","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","o","","166","1659454090414","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","o",,"167","1659454090415","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","167","1659454090421","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","167","1659454090527","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","d","","167","1659454090528","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","d",,"168","1659454090529","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","168","1659454090534","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","168","1659454090652","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","e","","168","1659454090653","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","e",,"169","1659454090654","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","169","1659454090667","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","169","1659454090800","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","(","","169","1659454090801","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",")","","170","1659454090801","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","(",,"170","1659454090801","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k",")",,"171","1659454090848","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",";","","171","1659454091610","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k",";",,"172","1659454091610","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Enter",,,"1659454091866","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","        
","","173","1659454091868","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","n","","181","1659454092183","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","n",,"182","1659454092184","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","182","1659454092191","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","182","1659454092244","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","o","","182","1659454092245","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","o",,"183","1659454092246","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","183","1659454092252","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","183","1659454092318","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","d","","183","1659454092319","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","d",,"184","1659454092320","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","184","1659454092324","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","184","1659454092428","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","e","","184","1659454092429","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","e",,"185","1659454092435","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",".","","185","1659454092570","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k",".",,"186","1659454092570","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","186","1659454092577","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","186","1659454092696","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","d","","186","1659454092697","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","d",,"187","1659454092699","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","a","","187","1659454092801","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","a",,"188","1659454092803","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Choose Lookup Item Replace",,,"1659454093127","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","ta","","188","1659454093134","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454108529","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","private ","62","1659454108530","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454122169","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","        Node node = new Node();
        node.data","133","1659454122170","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454122293","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","
","133","1659454122295","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Left",,,"1659454133946","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Enter",,,"1659454134180","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","    
","","133","1659454134182","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Up",,,"1659454134392","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Tab",,,"1659454134496","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","    ","","137","1659454134497","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Enter",,,"1659454141519","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","
","","29","1659454141529","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","    ","","29","1659454141531","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Enter",,,"1659454141637","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","    
","","34","1659454141638","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Up",,,"1659454141944","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","p","","33","1659454157557","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","p",,"34","1659454157558","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","p
    
    ","33","1659454157564","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","61","1659454157564","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","private","","62","1659454157565","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","private ","62","1659454157564","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","    p 
    
","","29","1659454157564","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","34","1659454157639","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","r","","34","1659454157640","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","r",,"35","1659454157642","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","35","1659454157652","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","35","1659454157760","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","i","","35","1659454157761","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","i",,"36","1659454157764","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","v","","36","1659454157824","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","v",,"37","1659454157827","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","a","","37","1659454157922","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","a",,"38","1659454157925","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","t","","38","1659454158004","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","t",,"39","1659454158006","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","e","","39","1659454158085","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","e",,"40","1659454158090","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","40","1659454158155","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"41","1659454158155","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","N","","41","1659454158545","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","N",,"42","1659454158545","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","M","","42","1659454158549","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","M",,"43","1659454158549","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","43","1659454158556","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","43","1659454158638","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","o","","43","1659454158639","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","o",,"44","1659454158638","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","d","","44","1659454158749","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","d",,"45","1659454158749","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454158900","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","d","44","1659454158901","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454159026","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","o","43","1659454159027","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454159165","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","M","42","1659454159167","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","o","","42","1659454159346","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","o",,"43","1659454159346","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","43","1659454159353","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","43","1659454159398","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","d","","43","1659454159399","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","d",,"44","1659454159400","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","44","1659454159409","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","44","1659454159526","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","e","","44","1659454159527","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","e",,"45","1659454159528","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","45","1659454159535","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Down",,,"1659454159962","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Up",,,"1659454160244","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Down",,,"1659454160480","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Down",,,"1659454160615","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Right",,,"1659454160745","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Right",,,"1659454160904","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Right",,,"1659454161060","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Right",,,"1659454161226","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Up",,,"1659454161355","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Down with Selection",,,"1659454161610","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Down with Selection",,,"1659454161729","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Down with Selection",,,"1659454161865","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Extend Selection",,,"1659454162239","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Move Line Up",,,"1659454162843","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","45","1659454162847","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","
    private class Node {
        T data;
        Node next;
    }","","45","1659454162848","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","private class Node {
        T data;
        Node next;
    }
    ","121","1659454162847","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Move Line Up",,,"1659454163024","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","    private class Node {
        T data;
        Node next;
    }
","","29","1659454163026","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","private class Node {
        T data;
        Node next;
    }
    ","116","1659454163026","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Down",,,"1659454163483","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Left",,,"1659454163823","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Enter",,,"1659454164039","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","    
","","95","1659454164041","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Up",,,"1659454164299","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Up",,,"1659454164481","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Down",,,"1659454164698","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Down",,,"1659454164854","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Move Caret to Line End",,,"1659454165342","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","116","1659454165788","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"117","1659454165789","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","h","","117","1659454166348","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","h",,"118","1659454166348","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","118","1659454166354","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","118","1659454166417","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","e","","118","1659454166418","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","e",,"119","1659454166418","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","a","","119","1659454166535","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","a",,"120","1659454166536","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","d","","120","1659454166600","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","d",,"121","1659454166600","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","121","1659454167743","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"122","1659454167744","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","=","","122","1659454167793","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","=",,"123","1659454167794","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","123","1659454167912","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"124","1659454167913","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","n","","124","1659454168133","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","n",,"125","1659454168134","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","125","1659454168139","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","125","1659454168369","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","u","","125","1659454168370","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","u",,"126","1659454168372","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","126","1659454168377","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","126","1659454168444","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","l","","126","1659454168445","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","l",,"127","1659454168445","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","127","1659454168451","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","127","1659454168553","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","l","","127","1659454168554","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","l",,"128","1659454168558","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",";","","128","1659454169410","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k",";",,"129","1659454169410","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","null","124","1659454193613","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","n","","124","1659454193614","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","n",,"125","1659454193614","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","125","1659454193619","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","125","1659454193735","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","e","","125","1659454193736","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","e",,"126","1659454193737","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","126","1659454193754","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","126","1659454193842","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","w","","126","1659454193843","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","w",,"127","1659454193847","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","127","1659454193852","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"128","1659454193938","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","128","1659454193943","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","128","1659454194116","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","N","","128","1659454194117","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","N",,"129","1659454194119","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","129","1659454194125","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","129","1659454194186","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","O","","129","1659454194187","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","O",,"130","1659454194189","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","130","1659454194204","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","130","1659454194337","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","d","","130","1659454194338","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","d",,"131","1659454194339","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","131","1659454194345","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","131","1659454194579","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","e","","131","1659454194580","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","e",,"132","1659454194580","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","132","1659454194587","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454194780","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","e ","131","1659454194781","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","131","1659454194789","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454194920","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","d ","130","1659454194921","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","130","1659454194927","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454195075","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","O ","129","1659454195076","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","129","1659454195083","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","129","1659454195266","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","o","","129","1659454195267","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","o",,"130","1659454195268","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","130","1659454195274","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","130","1659454195343","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","d","","130","1659454195344","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","d",,"131","1659454195345","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","131","1659454195351","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","131","1659454195500","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","e","","131","1659454195501","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","e",,"132","1659454195502","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","132","1659454195509","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","132","1659454195634","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","(","","132","1659454195635","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",")","","133","1659454195635","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","(",,"133","1659454195635","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k",")",,"134","1659454195696","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Right",,,"1659454212099","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Left",,,"1659454212332","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Right",,,"1659454212498","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454212764","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","",";","134","1659454212765","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454213014","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","",")","133","1659454213016","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454213047","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","(","132","1659454213049","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454213080","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","e","131","1659454213081","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454213113","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","d","130","1659454213114","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454213146","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","o","129","1659454213147","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454213179","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","N","128","1659454213180","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454213214","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","127","1659454213215","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454213247","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","w","126","1659454213248","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454213455","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","e","125","1659454213455","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454213606","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","n","124","1659454213607","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454213723","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","123","1659454213724","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454213903","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","=","122","1659454213904","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454214066","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","121","1659454214067","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","121","1659454214517","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"122","1659454214518","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","=","","122","1659454214621","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","=",,"123","1659454214622","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","123","1659454214700","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"124","1659454214701","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","n","","124","1659454214819","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","n",,"125","1659454214819","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","125","1659454214825","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","125","1659454215231","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","u","","125","1659454215232","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","u",,"126","1659454215233","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","126","1659454215238","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","126","1659454215327","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","l","","126","1659454215328","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","l",,"127","1659454215328","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","127","1659454215334","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","127","1659454215540","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",";","","127","1659454215541","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k",";",,"128","1659454215541","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","l","","128","1659454215546","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","l",,"129","1659454215546","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","129","1659454215551","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454215971","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","l ","128","1659454215972","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454216076","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","",";","127","1659454216077","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","l","","127","1659454216542","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","l",,"128","1659454216542","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",";","","128","1659454216731","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k",";",,"129","1659454216732","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","i","","181","1659454250995","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","i",,"182","1659454250996","LinkedList.java","1.1.3 for 2021-2022 @t1",
